iter	Passed	Remaining
0	153	153604
1	156	78252
2	160	53194
3	162	40522
4	164	32822
5	167	27685
6	169	24038
7	171	21276
8	173	19109
9	175	17384
10	177	15972
11	179	14794
12	181	13813
13	184	12976
14	186	12244
15	189	11624
16	191	11059
17	193	10546
18	195	10119
19	198	9704
20	200	9332
21	202	8991
22	204	8693
23	207	8422
24	209	8158
25	211	7911
26	213	7686
27	215	7490
28	218	7308
29	220	7130
30	222	6966
31	225	6806
32	227	6655
33	229	6526
34	231	6395
35	234	6269
36	236	6153
37	238	6044
38	240	5937
39	243	5840
40	245	5743
41	247	5656
42	250	5571
43	252	5487
44	255	5415
45	257	5339
46	260	5274
47	262	5205
48	264	5134
49	266	5067
50	269	5006
51	271	4943
52	273	4888
53	276	4836
54	278	4784
55	281	4738
56	283	4687
57	285	4638
58	287	4590
59	290	4543
60	292	4500
61	294	4456
62	296	4414
63	299	4374
64	301	4335
65	303	4298
66	306	4261
67	308	4223
68	310	4188
69	312	4156
70	315	4125
71	317	4091
72	319	4059
73	321	4028
74	324	3998
75	326	3968
76	328	3940
77	330	3911
78	333	3885
79	335	3860
80	337	3834
81	340	3808
82	342	3784
83	344	3760
84	347	3735
85	349	3718
86	352	3695
87	354	3673
88	356	3650
89	359	3629
90	361	3607
91	363	3587
92	365	3566
93	367	3545
94	370	3526
95	372	3507
96	374	3489
97	377	3471
98	379	3452
99	381	3434
100	383	3416
101	385	3397
102	388	3379
103	390	3361
104	392	3343
105	394	3327
106	396	3309
107	398	3292
108	400	3276
109	403	3261
110	405	3245
111	407	3229
112	409	3213
113	411	3197
114	413	3182
115	415	3167
116	417	3152
117	419	3138
118	421	3124
119	424	3110
120	426	3096
121	428	3083
122	430	3070
123	432	3056
124	434	3043
125	436	3030
126	439	3018
127	441	3005
128	443	2993
129	445	2981
130	447	2969
131	449	2956
132	451	2944
133	453	2932
134	455	2921
135	457	2909
136	460	2898
137	462	2886
138	464	2875
139	466	2864
140	468	2854
141	470	2843
142	472	2833
143	474	2822
144	476	2812
145	478	2801
146	481	2791
147	483	2781
148	485	2772
149	487	2762
150	489	2753
151	491	2743
152	493	2734
153	496	2725
154	498	2716
155	500	2708
156	502	2699
157	504	2690
158	506	2681
159	509	2672
160	511	2663
161	513	2654
162	515	2646
163	517	2637
164	519	2628
165	521	2620
166	523	2611
167	525	2603
168	527	2595
169	530	2587
170	532	2579
171	534	2571
172	536	2564
173	538	2556
174	540	2548
175	542	2540
176	544	2533
177	547	2526
178	549	2519
179	551	2511
180	553	2504
181	555	2496
182	558	2491
183	560	2486
184	562	2480
185	565	2474
186	567	2467
187	569	2460
188	571	2453
189	573	2446
190	576	2440
191	578	2433
192	580	2426
193	582	2419
194	584	2413
195	586	2406
196	588	2399
197	590	2393
198	593	2388
199	595	2381
200	597	2374
201	599	2368
202	601	2361
203	603	2355
204	606	2350
205	608	2344
206	610	2338
207	612	2332
208	614	2326
209	616	2320
210	618	2314
211	621	2308
212	623	2303
213	625	2299
214	628	2294
215	630	2288
216	632	2283
217	635	2278
218	637	2272
219	639	2266
220	641	2261
221	643	2255
222	645	2249
223	647	2243
224	649	2238
225	652	2233
226	654	2227
227	656	2221
228	658	2216
229	660	2210
230	662	2205
231	664	2200
232	666	2195
233	669	2190
234	671	2184
235	673	2179
236	675	2174
237	677	2169
238	679	2165
239	682	2160
240	684	2156
241	687	2151
242	689	2147
243	691	2142
244	693	2138
245	696	2133
246	698	2128
247	700	2124
248	702	2119
249	705	2115
250	707	2111
251	709	2107
252	712	2102
253	714	2098
254	716	2093
255	718	2088
256	721	2084
257	723	2080
258	725	2076
259	727	2071
260	730	2067
261	732	2062
262	734	2058
263	736	2053
264	738	2049
265	741	2045
266	743	2041
267	745	2037
268	748	2033
269	750	2028
270	752	2024
271	755	2020
272	757	2016
273	759	2012
274	761	2008
275	763	2003
276	766	1999
277	768	1995
278	770	1991
279	773	1987
280	775	1983
281	777	1980
282	780	1976
283	782	1972
284	784	1968
285	787	1964
286	789	1961
287	791	1957
288	793	1953
289	795	1948
290	798	1944
291	800	1940
292	802	1935
293	804	1931
294	806	1927
295	808	1923
296	810	1918
297	812	1914
298	814	1910
299	817	1906
300	819	1902
301	821	1898
302	823	1894
303	825	1890
304	827	1886
305	830	1882
306	832	1878
307	834	1874
308	836	1870
309	838	1866
310	840	1862
311	842	1858
312	845	1856
313	847	1852
314	850	1848
315	852	1844
316	854	1840
317	856	1836
318	858	1832
319	860	1828
320	862	1825
321	864	1821
322	866	1817
323	869	1813
324	871	1809
325	873	1805
326	875	1801
327	877	1797
328	879	1793
329	881	1789
330	883	1786
331	885	1782
332	888	1778
333	890	1775
334	892	1771
335	894	1767
336	896	1763
337	898	1760
338	900	1756
339	902	1752
340	904	1748
341	907	1745
342	909	1741
343	911	1737
344	913	1734
345	915	1730
346	917	1726
347	919	1722
348	921	1719
349	923	1715
350	925	1711
351	928	1708
352	930	1704
353	932	1701
354	934	1697
355	936	1694
356	938	1690
357	940	1686
358	942	1683
359	944	1679
360	946	1676
361	948	1672
362	951	1668
363	953	1665
364	955	1662
365	957	1658
366	959	1655
367	961	1652
368	964	1648
369	966	1645
370	968	1642
371	971	1639
372	973	1636
373	975	1632
374	977	1629
375	979	1626
376	981	1622
377	984	1619
378	986	1616
379	988	1613
380	991	1610
381	993	1606
382	995	1603
383	997	1600
384	1000	1597
385	1002	1594
386	1004	1591
387	1007	1588
388	1009	1585
389	1011	1582
390	1014	1579
391	1016	1576
392	1018	1573
393	1020	1570
394	1023	1567
395	1025	1563
396	1027	1560
397	1029	1557
398	1032	1554
399	1034	1551
400	1036	1548
401	1038	1545
402	1041	1542
403	1043	1539
404	1045	1536
405	1048	1533
406	1050	1530
407	1052	1527
408	1054	1524
409	1057	1521
410	1059	1517
411	1061	1515
412	1063	1512
413	1066	1508
414	1068	1505
415	1070	1502
416	1072	1500
417	1075	1497
418	1077	1494
419	1079	1491
